site_id,site_name,latitude,longitude,elevation,monitoring,n_d18o_samples,n_d13c_samples,n_entities
316,Hüttenbläserschachthöhle,51.3689,7.6547,430.0,no,1346,1348,4
317,Jiangjun cave,22.9500,104.8167,200.0,no,323,323,2
318,Jinfo cave,29.0167,107.1792,2114.0,no,592,0,2
319,Jiulong cave,27.8000,113.9000,162.0,no,505,505,1
320,Katalekhor,35.8500,48.1600,1719.0,no,287,287,1
321,Klang,8.3300,98.7300,50.0,yes,677,0,3
322,Kuna Ba,35.0900,45.3800,660.0,yes,3082,3082,3
323,Kyok-Tash cave,51.7290,85.6560,890.0,no,818,818,1
324,La Vallina,43.4100,-4.8067,70.0,yes,969,969,7
325,Larga cave,18.3200,-66.8000,350.0,yes,2049,2032,1
326,Linzhu cave,31.5167,110.3167,780.0,unknown,356,0,2
327,Manita peć cave,45.3142,15.4754,570.0,yes,405,405,2
328,Mata Virgem cave,-11.6200,-47.4900,365.0,no,536,536,1
329,Matupi cave,1.2500,29.8200,1110.0,no,363,363,3
330,Meravelles cave,40.9488,0.5127,125.0,no,250,250,1
331,Mizpe Shelagim,33.3200,35.8100,2180.0,yes,279,282,4
332,Murada,39.9560,3.9650,80.0,no,93,93,1
333,Neotektonik cave,46.7833,8.2667,1700.0,no,2285,2285,3
334,Nova Grgosova cave,45.8188,15.6783,239.0,yes,839,839,2
335,Ostolo cave,43.1878,-0.2678,248.0,yes,1307,1307,3
336,Pentadactylos,35.2700,33.4700,800.0,yes,685,684,1
337,Pir Ghar cave,35.2300,57.4200,1600.0,no,116,116,1
338,Coves del pirata,39.5046,3.3009,32.0,no,90,90,1
339,Pozzo Cucù cave,40.9000,17.1600,276.0,no,2658,2658,1
340,Qujia cave,35.7000,118.4000,456.0,no,95,0,1
341,Rey Marcos,15.4277,-90.2807,1460.0,yes,520,520,1
342,Sa balma des quartó cave,39.5145,3.3059,10.5,yes,1008,1008,4
343,Sant'Angelo cave,40.7000,17.5000,148.0,no,1002,0,1
344,Sarma cave,43.3900,40.3700,2150.0,no,288,288,1
345,Schratten cave,46.7833,8.2667,1580.0,no,584,584,1
346,Shijiangjun cave,26.2000,105.5000,1300.0,no,959,959,1
347,Shizi cave,29.6822,106.2881,401.0,no,312,0,1
348,Sudwala cave,-25.3700,20.7000,975.0,no,109,109,1
349,Talisman cave,40.3900,72.3500,1486.0,no,1513,1513,2
350,Toca da Barriguda,-10.1600,-40.8600,600.0,no,298,0,2
351,Trapiá cave,-5.6000,-37.7000,72.0,no,819,855,1
352,War Eagle,34.6700,-86.0500,210.0,yes,659,657,1
353,Wintimdouine,30.7700,-9.4900,1250.0,unknown,3506,0,4
354,Wulu cave,26.0500,105.0833,1440.0,no,1111,945,3
355,Xiniu cave,31.5167,110.5700,1900.0,no,1582,1582,3
356,Yangzi cave,29.7830,107.7830,400.0,no,1298,1298,1
357,Yonderup cave,-31.5470,115.6900,100.0,yes,183,183,1
358,Zhangjia cave,32.5833,105.0833,164.0,yes,1017,0,1
359,Zoolithen cave,49.7793,11.2829,455.0,yes,263,263,2
360,Bigonda cave,46.0180,11.5810,370.0,yes,758,758,2
361,Kocain cave,37.2325,30.7117,730.0,no,369,369,1
362,Labyrinth cave,-34.3000,115.1000,65.0,no,161,161,1
363,Lake Shasta cave,40.8040,-122.3040,725.0,yes,1025,1025,2
364,Naharon,20.1800,-87.5400,-17.7,no,419,419,1
365,Pot au Feu,42.5200,0.2400,997.0,no,229,229,1
366,Savi cave,45.6167,13.8833,350.0,yes,609,609,2
