dating_id,entity_id,date_type,depth_dating,dating_thickness,lab_num,material_dated,min_weight,max_weight,uncorr_age,uncorr_age_uncert_pos,uncorr_age_uncert_neg,c14_correction,calib_used,date_used,u238_content,u238_uncertainty,th232_content,th232_uncertainty,th230_content,th230_uncertainty,th230_th232_ratio,th230_th232_ratio_uncertainty,th230_u238_activity,th230_u238_activity_uncertainty,u234_u238_activity,u234_u238_activity_uncertainty,ini_230th_232th_ratio,ini_230th_232th_ratio_uncertainty,decay_constant,corr_age,corr_age_uncert_pos,corr_age_uncert_neg,date_used_lin_interp,date_used_lin_reg,date_used_bchron,date_used_bacon,date_used_oxcal,date_used_copra,date_used_stalage
8981,484,MC-ICP-MS U/Th,354,,354,calcite,,,179000,1400,1400,,,yes,499.6,0.7,1330,20,,,1517.801597,18.50977557,1.3159,0.0044,1.9977,0.0035,0.814430125,0.407215062,Cheng et al. 2000,178900,1400,1400,yes,,yes,yes,,yes,yes
8982,484,MC-ICP-MS U/Th,383,,383,calcite,,,184500,2200,2200,,,yes,570,1,930,20,,,2498.819702,55.5293267,1.3308,0.0061,1.9887,0.0032,0.814430125,0.407215062,Cheng et al. 2000,184500,2200,2200,yes,,yes,yes,,yes,yes
8983,484,MC-ICP-MS U/Th,405,,405,calcite,,,187600,2500,2500,,,yes,490,1,1370,20,,,1464.123247,18.50977557,1.3353,0.0066,1.8406,0.0026,0.814430125,0.407215062,Cheng et al. 2000,187500,2500,2500,yes,,yes,yes,,yes,yes
8984,484,MC-ICP-MS U/Th,465,,465,calcite,,,196200,2700,2700,,,yes,316.9,0.8,6710,30,,,196.5738165,1.110586534,1.3619,0.0067,1.9758,0.0026,0.814430125,0.407215062,Cheng et al. 2000,195900,2700,2700,yes,,yes,yes,,yes,yes
8985,484,MC-ICP-MS U/Th,567,,567,calcite,,,199400,1700,1700,,,yes,259.9,0.4,680,20,,,1573.330923,37.01955113,1.3466,0.0038,1.9921,0.003,0.814430125,0.407215062,Cheng et al. 2000,199400,1700,1700,yes,,yes,yes,,yes,yes
8986,484,MC-ICP-MS U/Th,607,,607,calcite,,,204900,1700,1700,,,yes,387.6,0.6,750,20,,,2165.643741,37.01955113,1.3699,0.0038,1.8544,0.0034,0.814430125,0.407215062,Cheng et al. 2000,204900,1700,1700,yes,,yes,yes,,yes,yes
8987,484,MC-ICP-MS U/Th,615,,615,calcite,,,210100,1800,1800,,,yes,565.4,0.7,2050,20,,,1147.606085,9.254887784,1.3591,0.0043,1.9,0.021,0.814430125,0.407215062,Cheng et al. 2000,210000,1800,1800,yes,,yes,yes,,yes,yes
8988,484,MC-ICP-MS U/Th,618,,618,calcite,,,214800,2200,2200,,,yes,499,0.8,460,30,,,4590.424341,370,1.3769,0.0048,1.8281,0.0024,0.814430125,0.407215062,Cheng et al. 2000,214800,2200,2200,yes,,yes,yes,,yes,yes
8989,484,MC-ICP-MS U/Th,628,,628,calcite,,,216700,2100,2100,,,yes,277.6,0.4,580,10,,,2040,370,1.3779,0.0041,1.6993,0.0035,0.814430125,0.407215062,Cheng et al. 2000,216700,2100,2100,yes,,yes,yes,,yes,yes
8990,484,MC-ICP-MS U/Th,675,,675,calcite,,,217300,2200,2200,,,yes,286.7,0.5,610,20,,,1962.03621,55.5293267,1.3626,0.0042,1.5557,0.0037,0.814430125,0.407215062,Cheng et al. 2000,217200,2200,2200,yes,,yes,yes,,yes,yes
