sample_id,lin_interp_age,lin_interp_age_uncert_pos,lin_interp_age_uncert_neg,lin_reg_age,lin_reg_age_uncert_pos,lin_reg_age_uncert_neg,bchron_age,bchron_age_uncert_pos,bchron_age_uncert_neg,bacon_age,bacon_age_uncert_pos,bacon_age_uncert_neg,oxcal_age,oxcal_age_uncert_pos,oxcal_age_uncert_neg,copra_age,copra_age_uncert_pos,copra_age_uncert_neg,stalage_age,stalage_age_uncert_pos,stalage_age_uncert_neg
25631,5674.086183,14.93490244,14.57790466,,,,5675,33,73,5670.973845,21.66279425,107.6781367,5689.095122,105.8869122,105.8869122,5671.619387,14.93800428,14.81457854,5678.049083,15.55342211,16.35386953
25632,5677.193901,14.6306069,14.34383079,,,,5678,31,74,5673.943845,21.2825535,110.4118348,5692.997561,104.3411561,104.3411561,5674.741712,14.819692,14.68973947,5681.416527,15.31906819,16.19561047
25633,5680.296147,14.39308479,14.28278574,,,,5681,29,75,5676.750128,20.87513475,112.7332995,5696.9,102.7954,102.7954,5677.902574,14.69770633,14.45095262,5684.770413,15.08779753,16.02881396
25634,5683.391408,14.14293261,14.2515981,,,,5684,27.05,74,5679.72555,20.847755,115.1954345,5699.826829,100.274522,100.274522,5681.006599,14.5931327,14.33477907,5688.088278,14.88684101,15.83487693
25635,5686.475863,14.0733405,14.12198015,,,,5687,25.05,71.05,5682.641675,20.81826325,117.7093719,5702.753659,97.7536439,97.7536439,5684.166755,14.50109689,14.24984654,5691.356167,14.73526943,15.60306221
25636,5689.481485,14.00654928,13.85028656,,,,5690,25,71,5685.49607,20.1998595,120.2610199,5705.912195,95.24416585,95.24416585,5687.290465,14.37719793,14.07474246,5694.594166,14.61951332,15.35409605
25637,5692.514727,13.95633312,13.86729329,,,,5693,24,71,5688.358928,20.05159675,122.4557175,5709.082927,92.7352878,92.7352878,5690.407079,14.3676913,13.992596,5697.830871,14.51784314,15.11657054
25638,5695.575584,13.66964513,13.83078285,,,,5696,23,68,5691.22532,20.190264,124.13444,5711.595122,89.56717073,89.56717073,5693.484762,14.50054159,13.90946966,5701.094879,14.40852934,14.9190778
25639,5698.580074,13.65975997,13.99515209,,,,5698.5,22.5,68.5,5694.093138,20.12246625,126.0512139,5714.034146,86.32580488,86.32580488,5696.730864,14.34428989,13.92206872,5704.407299,14.2749261,14.78015546
25640,5701.630066,13.6834412,14.14553417,,,,5701,21,68,5696.9921,19.8997965,128.6164158,5716.265854,83.01519512,83.01519512,5699.965481,14.31961795,13.89283809,5707.759293,14.1207225,14.6781233
25641,5704.758389,13.50393939,14.35830009,,,,5704,20,66.05,5699.801755,19.51103125,131.1434337,5718.460976,79.69236585,79.69236585,5703.095298,14.3940972,13.68895004,5711.134536,13.95469135,14.5812466
25642,5707.860535,13.50223757,14.42778339,,,,5707,19,65,5702.61371,19.549279,133.4705895,5720.070732,75.16547805,75.16547805,5706.340756,14.16637295,13.76770035,5714.516704,13.78560544,14.45779066
25643,5710.914333,13.54623301,14.34794071,,,,5710,18,59.15,5705.477483,19.6421725,136.0759779,5721.534146,70.33757561,70.33757561,5709.555176,14.19470625,13.8127628,5717.892662,13.62105238,14.28490065
25644,5713.962308,13.84524545,14.50133041,,,,5713,17.05,57.05,5708.4618,19.8874125,138.8069038,5722.997561,65.11455122,65.11455122,5712.742968,14.31005913,13.63582069,5721.26205,13.46387888,14.0752411
25645,5717.036857,13.96866894,14.63260491,,,,5716,17,48.05,5711.28723,19.8283535,141.0432264,5724.460976,59.75981951,59.75981951,5715.978908,14.30273355,13.68963934,5724.627696,13.31574647,13.85035642
25646,5720.075805,14.17901613,14.68438144,,,,5719,17,39.1,5714.17646,20.300716,142.7285,5725.753659,52.77132195,52.77132195,5719.149741,14.36462953,13.73654921,5727.99243,13.17831667,13.63179099
25647,5723.058353,14.38973781,14.8518931,,,,5722,17,29.05,5716.994953,20.74181775,144.487368,5726.973171,45.08263902,45.08263902,5722.362824,14.39345712,13.71386851,5731.358823,13.05084832,13.43700323
25648,5726.044376,14.86225777,14.90032574,,,,5725,16.05,23,5719.91222,20.9615435,146.9495016,5728.065854,34.64999854,34.64999854,5725.698405,14.32663045,13.77038758,5734.728411,12.92298953,13.26710752
25649,5729.133953,14.92228011,15.31627944,,,,5729,16,20,5722.745813,21.199175,149.1643244,5729.090244,22.73984244,22.73984244,5728.972417,14.36564906,13.82542356,5738.102473,12.78198571,13.11913227
25650,5732.491793,14.93048717,15.33240388,,,,5733,19,18,5725.76335,21.344255,152.0111887,5730.252958,28.27754766,28.27754766,5732.181923,14.39690369,13.82889318,5741.482287,12.61508231,12.99010588
25651,5735.975459,14.67711915,15.17259049,,,,5737,29,18,5728.6441,21.473405,154.3685035,5731.334206,42.90965299,42.90965299,5735.368059,14.45852899,13.79261398,5744.866353,12.41609574,12.87487341
25652,5739.466675,14.5149995,14.94131912,,,,5741,42.1,19,5731.49389,21.7539485,156.7147187,5732.395877,53.60859068,53.60859068,5738.56275,14.491856,13.82194551,5748.242063,12.20512647,12.75954655
25653,5742.927642,14.45218907,14.67662213,,,,5744,55,19,5734.332028,21.84013025,159.1733607,5733.740384,62.16134504,62.16134504,5741.705191,14.50818831,13.77984374,5751.594033,12.00884597,12.62805365
25654,5746.473492,14.30714643,14.4164847,,,,5748,65.05,19,5737.2002,22.21414,161.652212,5735.084744,70.29660714,70.29660714,5744.823474,14.45507244,13.74181463,5754.906877,11.85392569,12.46432305
25655,5750.060466,14.05471203,14.24183156,,,,5751,70.1,19,5740.040633,22.5844965,164.3261447,5736.439082,76.50194439,76.50194439,5747.974674,14.40952721,13.73909188,5758.17285,11.75786981,12.2590288
25656,5753.598578,13.84538712,14.10316125,,,,5755,76.1,20,5742.94304,23.01248,166.9111417,5738.231839,82.77462277,82.77462277,5751.0515,14.46326349,13.77342868,5761.414772,11.70151327,12.02982767
