sample_id,d18o_measurement,d18o_precision
65995,-7.4332,0.08
65996,-7.4469,0.08
65997,-7.4367,0.08
65998,-7.2325,0.08
65999,-7.2129,0.08
66000,-7.3206,0.08
66001,-7.3099,0.08
66002,-7.313,0.08
66003,-7.1544,0.08
66004,-7.1554,0.08
66005,-7.2223,0.08
66006,-7.1879,0.08
66007,-7.1531,0.08
66008,-7.2109,0.08
66009,-7.3527,0.08
66010,-7.5638,0.08
66011,-7.5367,0.08
66012,-7.4952,0.08
66013,-7.4274,0.08
66014,-7.4356,0.08
66015,-7.3003,0.08
66016,-7.3149,0.08
66017,-7.4031,0.08
66018,-7.4101,0.08
66019,-7.4059,0.08
66020,-7.4626,0.08
66021,-7.4276,0.08
66022,-7.4638,0.08
66023,-7.5279,0.08
66024,-7.6061,0.08
66025,-7.5302,0.08
66026,-7.4617,0.08
66027,-7.5035,0.08
66028,-7.5813,0.08
66029,-7.4649,0.08
66030,-7.4034,0.08
66031,-7.412,0.08
66032,-7.4221,0.08
66033,-7.5657,0.08
66034,-7.4614,0.08
66035,-7.3669,0.08
66036,-7.3261,0.08
66037,-7.4264,0.08
66038,-7.5171,0.08
66039,-7.5806,0.08
66040,-7.3111,0.08
66041,-7.3504,0.08
66042,-7.5689,0.08
66043,-7.6338,0.08
66044,-7.6975,0.08
66045,-7.264,0.08
66046,-7.5141,0.08
66047,-7.5874,0.08
66048,-7.3442,0.08
66049,-7.2576,0.08
66050,-7.3811,0.08
66051,-7.5192,0.08
66052,-7.7231,0.08
66053,-7.6318,0.08
66054,-7.4107,0.08
66055,-7.2461,0.08
66056,-7.3794,0.08
66057,-7.4096,0.08
66058,-7.2825,0.08
66059,-7.3478,0.08
66060,-7.4295,0.08
66061,-7.4975,0.08
66062,-7.6102,0.08
66063,-7.2705,0.08
66064,-7.2316,0.08
66065,-7.2595,0.08
66066,-7.3217,0.08
66067,-7.3872,0.08
66068,-7.4673,0.08
66069,-7.4358,0.08
66070,-7.3846,0.08
66071,-7.4484,0.08
66072,-7.6066,0.08
66073,-7.5039,0.08
66074,-7.5014,0.08
66075,-7.5462,0.08
66076,-7.5454,0.08
66077,-7.5639,0.08
66078,-7.7109,0.08
66079,-7.893,0.08
66080,-7.9652,0.08
66081,-7.9848,0.08
66082,-7.9054,0.08
66083,-7.7571,0.08
66084,-7.5711,0.08
66085,-7.6989,0.08
66086,-7.5003,0.08
66087,-7.3806,0.08
66088,-7.4196,0.08
66089,-7.3801,0.08
66090,-7.3424,0.08
66091,-7.3091,0.08
66092,-7.2328,0.08
66093,-7.1739,0.08
66094,-7.2012,0.08
66095,-7.2596,0.08
66096,-7.3394,0.08
66097,-7.4798,0.08
66098,-7.5896,0.08
66099,-7.6691,0.08
66100,-7.6581,0.08
66101,-7.6374,0.08
66102,-7.6124,0.08
66103,-7.6066,0.08
66104,-7.6568,0.08
66105,-7.8391,0.08
66106,-7.7125,0.08
66107,-7.7099,0.08
66108,-7.6488,0.08
66109,-7.5314,0.08
66110,-7.4525,0.08
66111,-7.4322,0.08
66112,-7.4604,0.08
66113,-7.4981,0.08
66114,-7.4728,0.08
66115,-7.6695,0.08
66116,-7.805,0.08
66117,-7.7403,0.08
66118,-7.4836,0.08
66119,-7.4719,0.08
66120,-7.4213,0.08
66121,-7.4379,0.08
66122,-7.4785,0.08
66123,-7.5362,0.08
66124,-7.5627,0.08
66125,-7.5896,0.08
66126,-7.6018,0.08
66127,-7.621,0.08
66128,-7.5714,0.08
66129,-7.5149,0.08
66130,-7.4837,0.08
66131,-7.4849,0.08
66132,-7.4861,0.08
66133,-7.5286,0.08
66134,-7.5734,0.08
66135,-7.5622,0.08
66136,-7.5584,0.08
66137,-7.5525,0.08
66138,-7.5533,0.08
66139,-7.563,0.08
66140,-7.563,0.08
66141,-7.5412,0.08
66142,-7.5555,0.08
66143,-7.5625,0.08
66144,-7.563,0.08
66145,-7.5794,0.08
66146,-7.6122,0.08
66147,-7.6284,0.08
66148,-7.6077,0.08
66149,-7.6048,0.08
66150,-7.6093,0.08
66151,-7.6272,0.08
66152,-7.6317,0.08
66153,-7.5983,0.08
66154,-7.531,0.08
66155,-7.5289,0.08
66156,-7.4633,0.08
66157,-7.4334,0.08
66158,-7.4526,0.08
66159,-7.4921,0.08
66160,-7.5092,0.08
66161,-7.5285,0.08
66162,-7.584,0.08
66163,-7.6126,0.08
66164,-7.618,0.08
66165,-7.607,0.08
66166,-7.607,0.08
66167,-7.597,0.08
66168,-7.6223,0.08
66169,-7.6306,0.08
66170,-7.6101,0.08
66171,-7.5901,0.08
66172,-7.5655,0.08
66173,-7.5627,0.08
66174,-7.5522,0.08
66175,-7.5119,0.08
66176,-7.4588,0.08
66177,-7.449,0.08
66178,-7.4494,0.08
66179,-7.4729,0.08
66180,-7.4849,0.08
66181,-7.4455,0.08
66182,-7.4388,0.08
66183,-7.4421,0.08
66184,-7.4397,0.08
66185,-7.4381,0.08
66186,-7.4539,0.08
66187,-7.4666,0.08
66188,-7.4246,0.08
66189,-7.4224,0.08
66190,-7.3911,0.08
66191,-7.3777,0.08
66192,-7.3821,0.08
66193,-7.3744,0.08
66194,-7.3341,0.08
66195,-7.3372,0.08
66196,-7.344,0.08
66197,-7.3751,0.08
66198,-7.3899,0.08
66199,-7.3903,0.08
66200,-7.3957,0.08
66201,-7.3966,0.08
66202,-7.4229,0.08
66203,-7.4358,0.08
66204,-7.4354,0.08
66205,-7.4333,0.08
66206,-7.4426,0.08
66207,-7.4542,0.08
66208,-7.507,0.08
66209,-7.4951,0.08
66210,-7.4917,0.08
66211,-7.4696,0.08
66212,-7.4812,0.08
66213,-7.484,0.08
66214,-7.4939,0.08
66215,-7.4669,0.08
66216,-7.4348,0.08
66217,-7.4297,0.08
66218,-7.4356,0.08
66219,-7.4449,0.08
66220,-7.4735,0.08
66221,-7.5042,0.08
66222,-7.4843,0.08
66223,-7.4428,0.08
66224,-7.4395,0.08
66225,-7.429,0.08
66226,-7.4375,0.08
66227,-7.4406,0.08
66228,-7.4483,0.08
66229,-7.4513,0.08
66230,-7.4532,0.08
66231,-7.4677,0.08
66232,-7.5067,0.08
66233,-7.5574,0.08
66234,-7.582,0.08
66235,-7.5819,0.08
66236,-7.5783,0.08
66237,-7.5701,0.08
66238,-7.5647,0.08
66239,-7.567,0.08
66240,-7.5672,0.08
66241,-7.5666,0.08
66242,-7.562,0.08
66243,-7.5635,0.08
66244,-7.5611,0.08
66245,-7.5561,0.08
66246,-7.554,0.08
66247,-7.5523,0.08
66248,-7.558,0.08
66249,-7.5509,0.08
66250,-7.5365,0.08
66251,-7.5113,0.08
66252,-7.4897,0.08
66253,-7.4829,0.08
66254,-7.4736,0.08
66255,-7.4898,0.08
66256,-7.5383,0.08
66257,-7.577,0.08
66258,-7.5861,0.08
66259,-7.6102,0.08
66260,-7.6127,0.08
66261,-7.5456,0.08
66262,-7.4883,0.08
66263,-7.4963,0.08
66264,-7.5075,0.08
66265,-7.5151,0.08
66266,-7.5435,0.08
66267,-7.548,0.08
66268,-7.5218,0.08
66269,-7.5019,0.08
66270,-7.5059,0.08
66271,-7.5204,0.08
66272,-7.5569,0.08
66273,-7.5986,0.08
66274,-7.6244,0.08
66275,-7.6124,0.08
66276,-7.607,0.08
66277,-7.5566,0.08
66278,-7.5122,0.08
66279,-7.513,0.08
66280,-7.5211,0.08
66281,-7.5668,0.08
66282,-7.5834,0.08
66283,-7.6142,0.08
66284,-7.5858,0.08
66285,-7.5794,0.08
66286,-7.5077,0.08
66287,-7.4363,0.08
66288,-7.3911,0.08
66289,-7.3861,0.08
66290,-7.3879,0.08
66291,-7.4126,0.08
66292,-7.4229,0.08
66293,-7.4219,0.08
66294,-7.4085,0.08
66295,-7.4017,0.08
66296,-7.3856,0.08
66297,-7.3706,0.08
66298,-7.3687,0.08
66299,-7.3492,0.08
66300,-7.3343,0.08
66301,-7.3324,0.08
66302,-7.3323,0.08
66303,-7.3356,0.08
66304,-7.3932,0.08
66305,-7.4655,0.08
66306,-7.4721,0.08
66307,-7.5404,0.08
66308,-7.6188,0.08
66309,-7.6244,0.08
66310,-7.6753,0.08
66311,-7.6803,0.08
66312,-7.7297,0.08
66313,-7.7078,0.08
66314,-7.6535,0.08
66315,-7.6497,0.08
66316,-7.6057,0.08
66317,-7.6321,0.08
66318,-7.6505,0.08
66319,-7.6509,0.08
66320,-7.6442,0.08
66321,-7.6191,0.08
66322,-7.5931,0.08
66323,-7.5709,0.08
66324,-7.5672,0.08
66325,-7.558,0.08
66326,-7.5392,0.08
66327,-7.5112,0.08
66328,-7.51,0.08
66329,-7.4889,0.08
66330,-7.4707,0.08
66331,-7.4632,0.08
66332,-7.4632,0.08
66333,-7.4733,0.08
66334,-7.4971,0.08
66335,-7.4793,0.08
66336,-7.4783,0.08
66337,-7.4757,0.08
66338,-7.4652,0.08
66339,-7.4684,0.08
66340,-7.4749,0.08
66341,-7.4743,0.08
66342,-7.4567,0.08
66343,-7.4507,0.08
66344,-7.4569,0.08
66345,-7.4574,0.08
66346,-7.5069,0.08
66347,-7.5401,0.08
66348,-7.5445,0.08
66349,-7.5425,0.08
66350,-7.5425,0.08
66351,-7.5455,0.08
66352,-7.5713,0.08
66353,-7.5765,0.08
66354,-7.5659,0.08
66355,-7.5683,0.08
66356,-7.5995,0.08
66357,-7.6727,0.08
66358,-7.6862,0.08
66359,-7.6941,0.08
66360,-7.714,0.08
66361,-7.7312,0.08
66362,-7.7716,0.08
66363,-7.7734,0.08
66364,-7.7733,0.08
66365,-7.7381,0.08
66366,-7.6974,0.08
66367,-7.6093,0.08
66368,-7.5038,0.08
66369,-7.4882,0.08
66370,-7.433,0.08
66371,-7.4206,0.08
66372,-7.4062,0.08
66373,-7.4047,0.08
66374,-7.4039,0.08
66375,-7.4104,0.08
66376,-7.4095,0.08
66377,-7.4055,0.08
66378,-7.4099,0.08
66379,-7.3803,0.08
66380,-7.3785,0.08
66381,-7.3734,0.08
66382,-7.4097,0.08
66383,-7.4135,0.08
66384,-7.4261,0.08
66385,-7.4585,0.08
66386,-7.502,0.08
66387,-7.531,0.08
66388,-7.5353,0.08
66389,-7.5444,0.08
66390,-7.5667,0.08
66391,-7.5635,0.08
66392,-7.5257,0.08
66393,-7.4888,0.08
66394,-7.4814,0.08
66395,-7.4812,0.08
66396,-7.483,0.08
66397,-7.4985,0.08
66398,-7.5062,0.08
66399,-7.5081,0.08
66400,-7.5241,0.08
66401,-7.5317,0.08
66402,-7.5386,0.08
66403,-7.567,0.08
66404,-7.6583,0.08
66405,-7.6788,0.08
66406,-7.6846,0.08
66407,-7.6862,0.08
66408,-7.6968,0.08
66409,-7.7216,0.08
66410,-7.7217,0.08
66411,-7.6963,0.08
66412,-7.6292,0.08
66413,-7.6,0.08
66414,-7.5767,0.08
66415,-7.6353,0.08
66416,-7.7175,0.08
66417,-7.7308,0.08
66418,-7.7222,0.08
66419,-7.7133,0.08
66420,-7.6348,0.08
66421,-7.6254,0.08
66422,-7.6247,0.08
66423,-7.6249,0.08
66424,-7.6315,0.08
66425,-7.6313,0.08
66426,-7.6034,0.08
66427,-7.5772,0.08
66428,-7.5772,0.08
66429,-7.5233,0.08
66430,-7.5096,0.08
66431,-7.5031,0.08
66432,-7.4943,0.08
66433,-7.4758,0.08
66434,-7.4411,0.08
66435,-7.4244,0.08
