sample_id,interp_age,interp_age_uncert_pos,interp_age_uncert_neg,age_model_type,ann_lam_check,dep_rate_check
65711,945.2,,,other (see notes),not applicable,not applicable
65712,949.5,,,other (see notes),not applicable,not applicable
65713,953.8,,,other (see notes),not applicable,not applicable
65714,958.1,,,other (see notes),not applicable,not applicable
65715,962.4,,,other (see notes),not applicable,not applicable
65716,970.9,,,other (see notes),not applicable,not applicable
65717,975.2,,,other (see notes),not applicable,not applicable
65718,979.5,,,other (see notes),not applicable,not applicable
65719,983.8,,,other (see notes),not applicable,not applicable
65720,988,,,other (see notes),not applicable,not applicable
65721,992.3,,,other (see notes),not applicable,not applicable
65722,996.6,,,other (see notes),not applicable,not applicable
65723,1000.9,,,other (see notes),not applicable,not applicable
65724,1005.2,,,other (see notes),not applicable,not applicable
65725,1009.4,,,other (see notes),not applicable,not applicable
65726,1013.7,,,other (see notes),not applicable,not applicable
65727,1018,,,other (see notes),not applicable,not applicable
65728,1022.3,,,other (see notes),not applicable,not applicable
65729,1026.6,,,other (see notes),not applicable,not applicable
65730,1030.8,,,other (see notes),not applicable,not applicable
65731,1035.1,,,other (see notes),not applicable,not applicable
65732,1039.4,,,other (see notes),not applicable,not applicable
65733,1043.7,,,other (see notes),not applicable,not applicable
65734,1048,,,other (see notes),not applicable,not applicable
65735,1052.2,,,other (see notes),not applicable,not applicable
65736,1056.5,,,other (see notes),not applicable,not applicable
65737,1060.8,,,other (see notes),not applicable,not applicable
65738,1065.1,,,other (see notes),not applicable,not applicable
65739,1069.4,,,other (see notes),not applicable,not applicable
65740,1073.6,,,other (see notes),not applicable,not applicable
65741,1077.9,,,other (see notes),not applicable,not applicable
65742,1082.2,,,other (see notes),not applicable,not applicable
65743,1086.5,,,other (see notes),not applicable,not applicable
65744,1090.8,,,other (see notes),not applicable,not applicable
65745,1095,,,other (see notes),not applicable,not applicable
65746,1099.3,,,other (see notes),not applicable,not applicable
65747,1103.6,,,other (see notes),not applicable,not applicable
65748,1107.9,,,other (see notes),not applicable,not applicable
65749,1112.2,,,other (see notes),not applicable,not applicable
65750,1116.4,,,other (see notes),not applicable,not applicable
65751,1120.7,,,other (see notes),not applicable,not applicable
65752,1125,,,other (see notes),not applicable,not applicable
65753,1127.2,,,other (see notes),not applicable,not applicable
