"site_id"|"site_name"|"geom"|"wkt"|"min_age_bp"|"max_age_bp"|"age_range_years"|"n_d18o_samples"|"n_d13c_samples"
364|"Naharon"|"0101000020E6100000C3F5285C8FE255C0AE47E17A142E3440"|"POINT(-87.54 20.18)"|9526|15487|5961|"419"|"419"
87|"Pindal cave"|"0101000020E61000001F85EB51B81E12C03333333333B34540"|"POINT(-4.53 43.4)"|NULL|NULL|NULL|"422"|"413"
113|"Paixão cave"|"0101000020E61000008A1F63EE5A8244C03FC6DCB5843C29C0"|"POINT(-41.0184 -12.6182)"|15041|27341068|27326027|"820"|"0"
335|"Ostolo cave"|"0101000020E61000006B9A779CA223D1BF2B1895D409984540"|"POINT(-0.2678 43.1878)"|10495|18853|8358|"404"|"404"
304|"Cueva Bonita"|"0101000020E61000000000000000C058C00000000000003740"|"POINT(-99 23)"|1350|3134|1784|"399"|"399"
248|"Shenqi cave"|"0101000020E61000006666666666C659406891ED7C3F553C40"|"POINT(103.1 28.333)"|-53|2267|2320|"787"|"0"
67|"Clearwater/Wind caves connection"|"0101000020E610000085EB51B81EB55C406666666666661040"|"POINT(114.83 4.1)"|NULL|NULL|NULL|"385"|"385"
280|"Atta cave"|"0101000020E61000009A99999999991F40CDCCCCCCCC8C4940"|"POINT(7.9 51.1)"|382|8658|8276|"384"|"384"
186|"Bribin cave"|"0101000020E61000008D976E1283A85B409A999999991920C0"|"POINT(110.633 -8.05)"|222|4157|3935|"377"|"374"
28|"Valmiki cave "|"0101000020E61000002AA913D044745340CDCCCCCCCC4C2E40"|"POINT(77.8167 15.15)"|14754|15729|975|"485"|"263"
361|"Kocain cave"|"0101000020E61000002E90A0F831B63E40F6285C8FC29D4240"|"POINT(30.7117 37.2325)"|-99|3311|3411|"369"|"369"
61|"Timta cave"|"0101000020E610000052499D802682544011C7BAB88DD63D40"|"POINT(82.0336 29.8381)"|NULL|NULL|NULL|"362"|"362"
230|"Marota cave"|"0101000020E6100000FBCBEEC9C38244C03B70CE88D23E29C0"|"POINT(-41.0216 -12.6227)"|39402|56815925|56776523|"723"|"0"
147|"Fort Stanton cave"|"0101000020E61000004694F6065F5C5AC00D71AC8BDBC04040"|"POINT(-105.4433 33.5067)"|11578|16817857|16806279|"359"|"359"
73|"Bourgeois–Delaunay cave"|"0101000020E6100000772D211FF46CE03F68226C787AD54640"|"POINT(0.5133 45.6678)"|NULL|NULL|NULL|"358"|"358"
223|"Wanxiang cave"|"0101000020E61000000000000000405A40295C8FC2F5A84040"|"POINT(105 33.32)"|104133|166143177|166039044|"711"|"0"
63|"Tzabnah cave"|"0101000020E6100000E7FBA9F1D26D56C07B14AE47E1BA3440"|"POINT(-89.716 20.73)"|-54|1516|1570|"709"|"0"
156|"Mavri Trypa cave"|"0101000020E6100000A60A462575C2354091ED7C3F355E4240"|"POINT(21.7596 36.736)"|1218|4700|3482|"354"|"354"
146|"Gunung-buda cave (snail shell cave)"|"0101000020E61000001F85EB51B89E5C4014AE47E17A141040"|"POINT(114.48 4.02)"|-50|25517335|25517385|"695"|"0"
195|"Harrison's cave"|"0101000020E6100000CDCCCCCCCCCC4DC06666666666662A40"|"POINT(-59.6 13.2)"|3018|7937|4919|"344"|"344"
278|"Pink Panther cave"|"0101000020E6100000CDCCCCCCCC4C5AC00000000000004040"|"POINT(-105.2 32)"|-58|12010959|12011017|"682"|"0"
321|"Klang"|"0101000020E61000001F85EB51B8AE5840295C8FC2F5A82040"|"POINT(98.73 8.33)"|1057|11257|10200|"677"|"0"
20|"Secret cave"|"0101000020E61000007CF2B0506BB65C409FCDAACFD5561040"|"POINT(114.8503 4.0848)"|30679|97795629|97764950|"672"|"0"
13|"Ball Gown cave"|"0101000020E61000000000000000405F4048E17A14AE0731C0"|"POINT(125 -17.03)"|8984|26177902|26168918|"421"|"211"
214|"Cave C126"|"0101000020E61000009A99999999795C409A999999991936C0"|"POINT(113.9 -22.1)"|14843|18411865|18397022|"312"|"312"
196|"Karaca cave"|"0101000020E61000007AC7293A92B343403D9B559FAB454440"|"POINT(39.4029 40.5443)"|NULL|NULL|NULL|"309"|"309"
108|"Clamouse cave"|"0101000020E61000006666666666660C407B14AE47E1DA4540"|"POINT(3.55 43.71)"|NULL|NULL|NULL|"299"|"299"
318|"Jinfo cave"|"0101000020E61000005DDC460378CB5A40DCD7817346043D40"|"POINT(107.1792 29.0167)"|272|23665|23393|"592"|"0"
97|"Bue Marino cave"|"0101000020E6100000C9E53FA4DF3E23402BF697DD931F4440"|"POINT(9.6228 40.2467)"|NULL|NULL|NULL|"295"|"295"
235|"Cueva del Tigre Perdido"|"0101000020E610000072F90FE9B75353C06C787AA52CC317C0"|"POINT(-77.3081 -5.9406)"|-39|10396641|10396680|"590"|"0"
135|"Grotte de Piste"|"0101000020E610000096438B6CE7FB10C09A99999999F94040"|"POINT(-4.246 33.95)"|2595|11107129|11104534|"588"|"0"
206|"São Matheus cave"|"0101000020E6100000CDCCCCCCCC2C47C01F85EB51B89E2BC0"|"POINT(-46.35 -13.81)"|749|1568738|1567989|"576"|"0"
344|"Sarma cave"|"0101000020E61000008FC2F5285C2F444052B81E85EBB14540"|"POINT(40.37 43.39)"|2990|22384|19394|"288"|"288"
320|"Katalekhor"|"0101000020E610000014AE47E17A144840CDCCCCCCCCEC4140"|"POINT(48.16 35.85)"|-4307|9350|13657|"287"|"287"
47|"Larshullet cave"|"0101000020E610000093A98251495D2C402B1895D4099C5040"|"POINT(14.1822 66.4381)"|417|1017984|1017567|"273"|"273"
210|"White moon cave"|"0101000020E6100000C1CAA145B68B5EC00000000000804240"|"POINT(-122.183 37)"|5626|8594|2968|"273"|"273"
296|"Amir Timur cave"|"0101000020E6100000A913D044D8B0504075029A081BB64340"|"POINT(66.7632 39.4227)"|372796|472377|99581|"270"|"270"
32|"Anjokipoty"|"0101000020E61000005917B7D1005E47404703780B24282FC0"|"POINT(46.7344 -15.5784)"|119|9832|9714|"269"|"269"
359|"Zoolithen cave"|"0101000020E6100000A913D044D8902640EBE2361AC0E34840"|"POINT(11.2829 49.7793)"|NULL|NULL|NULL|"263"|"263"
268|"Pere Noel cave"|"0101000020E6100000CDCCCCCCCCCC14400000000000004940"|"POINT(5.2 50)"|1739|12846|11107|"260"|"260"
270|"Gol-E-Zard cave"|"0101000020E61000000000000000004A40EC51B81E85EB4140"|"POINT(52 35.84)"|NULL|NULL|NULL|"259"|"259"
264|"Strašna peć cave"|"0101000020E61000006B2BF697DD132E400DE02D90A0004640"|"POINT(15.0388 44.0049)"|1390|3851|2461|"258"|"258"
216|"Dark cave"|"0101000020E6100000910F7A36AB8A5A403333333333333B40"|"POINT(106.1667 27.2)"|302|6127|5825|"510"|"0"
35|"Curupira cave"|"0101000020E6100000CEAACFD556644CC08351499D80662EC0"|"POINT(-56.7839 -15.2002)"|-19|161|180|"253"|"253"
281|"Venado cave"|"0101000020E6100000E17A14AE473155C09A99999999192540"|"POINT(-84.77 10.55)"|4932|8797|3865|"253"|"253"
279|"Staircase cave"|"0101000020E610000010E9B7AF031736403480B740821A41C0"|"POINT(22.0899 -34.2071)"|86236|334302227|334215991|"252"|"252"
330|"Meravelles cave"|"0101000020E61000002B1895D40968E03FEF38454772794440"|"POINT(0.5127 40.9488)"|14613|18610|3997|"250"|"250"
